Genot,Temp,Family,meangr
X10942,40,O,2.65699055033294
X10943,20,O,2.42844202898551
X10943,25,O,3.23648648648649
X10943,30,O,4.12008040935673
X10943,35,O,4.63578216374269
X10943,37.5,O,3.85722222222222
X10943,40,O,2.50249094202899
X10946,20,O,2.40335144927536
X10946,25,O,3.1282008911085
X10946,30,O,4.01722222222222
X10946,35,O,4.33870614035088
X10946,37.5,O,3.76416666666667
X10946,40,O,2.54551630434783
X10948,20,O,2.24796195652174
X10948,25,O,2.99031776341559
X10948,30,O,3.75944444444444
X10948,35,O,4.18304093567251
X10948,37.5,O,3.34380255255255
X10948,40,O,2.59272342995169
X10950,20,O,2.10303442028985
X10950,25,O,3.0590166980044
X10950,30,O,3.87555555555556
X10950,35,O,4.47220560871877
X10950,37.5,O,4.11672514619883
X10950,40,O,2.96888322103381
X10951,20,O,1.68138586956522
X10951,25,O,1.88564311594203
X10951,30,O,2.1213768115942
X10951,35,O,2.7860809178744
X10951,37.5,O,3.31646771771772
X10951,40,O,2.50973731884058
X10954,20,O,2.26268115942029
X10954,25,O,3.1553538937409
X10954,30,O,3.88722222222222
X10954,35,O,4.36013858217806
X10954,37.5,O,4.36421783625731
X10954,40,O,2.82373095953332
X10982,20,O,2.33310688405797
X10982,25,O,3.16136448948949
X10982,30,O,4.05152046783626
X10982,35,O,4.47631578947368
X10982,37.5,O,4.13366228070175
X10982,40,O,1.90783514492754
X10983,20,O,0.585371376811594
X10983,25,O,0.744344806763285
X10983,30,O,1.44384057971014
X10983,35,O,1.24230072463768
X10983,37.5,O,2.45606884057971
X10983,40,O,1.75384963768116
X1131,20,O,2.50905797101449
X1131,25,O,3.71277777777778
X1131,30,O,4.46929824561404
X1131,35,O,4.58837719298246
X1131,37.5,O,4.04042397660819
X1131,40,O,2.80503533424729
X1132,20,O,2.43523550724638
X1132,25,O,3.45147522522523
X1132,30,O,4.05687134502924
X1132,35,O,4.9875
X1132,37.5,O,4.51051169590643
X1132,40,O,2.77953804347826
X1133,20,O,2.42640398550725
X1133,25,O,3.46787537537538
X1133,30,O,4.28508771929825
X1133,35,O,4.82083333333333
X1133,37.5,O,4.06896198830409
X1133,40,O,3.07335193889542
X1165,20,O,2.60620471014493
X1165,25,O,3.65194444444445
X1165,30,O,4.39236111111111
X1165,35,O,5.05208333333333
X1165,37.5,O,4.16513888888889
X1165,40,O,2.88580615942029
X2229,20,O,2.43432971014493
X2229,25,O,3.32361486486487
X2229,30,O,4.08954678362573
X2229,35,O,4.66323099415205
X2229,37.5,O,3.84529970760234
X2229,40,O,2.67389672280977
X2489,20,O,2.33763586956522
X2489,25,O,3.29293355855856
X2489,30,O,4.18106725146199
X2489,35,O,4.875
X2489,37.5,O,3.95489766081871
X2489,40,O,2.97178050332942
X3200,20,O,2.24909420289855
X3200,25,O,2.89295885559472
X3200,30,O,3.47083333333333
X3200,35,O,3.80138888888889
X3200,37.5,O,3.80472222222222
X3200,40,O,2.72827515015015
X3210,20,O,2.20652173913044
X3210,25,O,2.89253062705213
X3210,30,O,3.43222222222222
X3210,35,O,3.73851598616364
X3210,37.5,O,3.00673611111111
X3210,40,O,2.67433042289812
X3211,20,O,2.0973731884058
X3211,25,O,2.9619389597217
X3211,30,O,3.85944444444445
X3211,35,O,3.85070707070707
X3211,37.5,O,3.89722222222222
X3211,40,O,2.51757294183428
X3212,20,O,2.06227355072464
X3212,25,O,2.67810364901188
X3212,30,O,3.26957582582583
X3212,35,O,3.45491651310898
X3212,37.5,O,3.60916666666667
X3212,40,O,2.45858534532023
X3223,20,O,2.18999094202899
X3223,25,O,2.86874288004964
X3223,30,O,3.53777777777778
